date,date,real,forecast,ref_forecast
2018-01-06 23:00:00,2018-01-06 23:00:00,50426.0,48959.2,50221.0
2018-01-07 00:00:00,2018-01-07 00:00:00,47763.0,46194.297,47730.0
2018-01-07 01:00:00,2018-01-07 01:00:00,45475.0,44030.547,45995.0
2018-01-07 02:00:00,2018-01-07 02:00:00,43585.0,42529.93,44080.0
2018-01-07 03:00:00,2018-01-07 03:00:00,41845.996,41218.305,42659.0
2018-01-07 04:00:00,2018-01-07 04:00:00,41126.0,40746.91,41587.0
2018-01-07 05:00:00,2018-01-07 05:00:00,40976.0,41317.906,41004.0
2018-01-07 06:00:00,2018-01-07 06:00:00,41453.0,42863.26,41127.0
2018-01-07 07:00:00,2018-01-07 07:00:00,42742.0,46691.02,42241.0
2018-01-07 08:00:00,2018-01-07 08:00:00,44891.996,50736.56,43997.0
2018-01-07 09:00:00,2018-01-07 09:00:00,47931.0,54492.773,46957.0
2018-01-07 10:00:00,2018-01-07 10:00:00,50391.0,57944.613,50377.0
2018-01-07 11:00:00,2018-01-07 11:00:00,51981.0,58946.773,53149.0
2018-01-07 12:00:00,2018-01-07 12:00:00,52438.0,58143.453,54500.0
2018-01-07 13:00:00,2018-01-07 13:00:00,52841.0,57025.508,55655.0
2018-01-07 14:00:00,2018-01-07 14:00:00,52463.004,57119.953,55538.0
2018-01-07 15:00:00,2018-01-07 15:00:00,52487.0,57114.285,55642.0
2018-01-07 16:00:00,2018-01-07 16:00:00,53352.0,58764.56,55861.0
2018-01-07 17:00:00,2018-01-07 17:00:00,55539.0,58892.64,56716.0
2018-01-07 18:00:00,2018-01-07 18:00:00,61711.996,60364.613,59220.0
2018-01-07 19:00:00,2018-01-07 19:00:00,61129.0,59700.008,56826.0
2018-01-07 20:00:00,2018-01-07 20:00:00,59664.0,60009.566,54525.0
2018-01-07 21:00:00,2018-01-07 21:00:00,57020.0,58779.6,52233.0
2018-01-07 22:00:00,2018-01-07 22:00:00,54164.0,57232.863,49817.0
2018-01-07 23:00:00,2018-01-07 23:00:00,50845.0,54618.58,47154.0
2018-01-08 00:00:00,2018-01-08 00:00:00,47076.0,47640.617,44363.0
2018-01-08 01:00:00,2018-01-08 01:00:00,44952.0,44936.88,42631.0
2018-01-08 02:00:00,2018-01-08 02:00:00,43487.0,44438.562,40909.0
2018-01-08 03:00:00,2018-01-08 03:00:00,42736.0,44128.195,39079.0
2018-01-08 04:00:00,2018-01-08 04:00:00,42657.004,44073.914,37984.0
2018-01-08 05:00:00,2018-01-08 05:00:00,43374.996,44224.184,37396.0
2018-01-08 06:00:00,2018-01-08 06:00:00,45675.0,45959.18,38500.0
2018-01-08 07:00:00,2018-01-08 07:00:00,52345.0,49982.918,42001.0
2018-01-08 08:00:00,2018-01-08 08:00:00,62028.0,59397.51,46893.0
2018-01-08 09:00:00,2018-01-08 09:00:00,68379.0,65373.01,51672.0
2018-01-08 10:00:00,2018-01-08 10:00:00,69359.0,67114.67,54515.0
2018-01-08 11:00:00,2018-01-08 11:00:00,68677.0,67150.414,56411.0
2018-01-08 12:00:00,2018-01-08 12:00:00,67775.0,65949.64,56767.0
2018-01-08 13:00:00,2018-01-08 13:00:00,66809.0,65047.27,57220.0
2018-01-08 14:00:00,2018-01-08 14:00:00,67083.0,64498.41,58097.0
2018-01-08 15:00:00,2018-01-08 15:00:00,67418.0,64981.184,59426.0
2018-01-08 16:00:00,2018-01-08 16:00:00,67848.0,65356.188,60947.0
2018-01-08 17:00:00,2018-01-08 17:00:00,69358.0,65277.76,62576.0
2018-01-08 18:00:00,2018-01-08 18:00:00,73659.0,66404.95,65576.0
2018-01-08 19:00:00,2018-01-08 19:00:00,70845.0,66795.08,63817.0
2018-01-08 20:00:00,2018-01-08 20:00:00,68325.0,66281.75,61815.0
2018-01-08 21:00:00,2018-01-08 21:00:00,64326.0,64495.973,59615.0
2018-01-08 22:00:00,2018-01-08 22:00:00,60079.0,61003.32,57116.0
2018-01-08 23:00:00,2018-01-08 23:00:00,55481.996,53215.008,53559.0
2018-01-09 00:00:00,2018-01-09 00:00:00,51383.0,47310.344,49885.0
2018-01-09 01:00:00,2018-01-09 01:00:00,48097.0,45111.19,46819.0
2018-01-09 02:00:00,2018-01-09 02:00:00,46078.996,44595.28,44465.0
2018-01-09 03:00:00,2018-01-09 03:00:00,45037.0,44328.95,42650.0
2018-01-09 04:00:00,2018-01-09 04:00:00,44694.0,43519.81,41876.0
2018-01-09 05:00:00,2018-01-09 05:00:00,45041.0,43934.32,41816.0
2018-01-09 06:00:00,2018-01-09 06:00:00,47041.0,46113.05,43366.0
2018-01-09 07:00:00,2018-01-09 07:00:00,52848.0,52954.02,48064.0
2018-01-09 08:00:00,2018-01-09 08:00:00,62666.0,61286.992,54976.0
2018-01-09 09:00:00,2018-01-09 09:00:00,68518.0,66645.54,61520.0
2018-01-09 10:00:00,2018-01-09 10:00:00,69987.0,67669.36,64602.0
2018-01-09 11:00:00,2018-01-09 11:00:00,69922.0,67561.086,66342.0
2018-01-09 12:00:00,2018-01-09 12:00:00,69156.0,66503.63,66237.0
2018-01-09 13:00:00,2018-01-09 13:00:00,68002.0,65894.04,65928.0
2018-01-09 14:00:00,2018-01-09 14:00:00,68201.0,65442.613,65724.0
2018-01-09 15:00:00,2018-01-09 15:00:00,68284.0,65258.55,66022.0
2018-01-09 16:00:00,2018-01-09 16:00:00,68632.0,65512.938,66216.0
2018-01-09 17:00:00,2018-01-09 17:00:00,69959.0,65552.67,67035.0
2018-01-09 18:00:00,2018-01-09 18:00:00,72921.0,65615.62,70268.0
2018-01-09 19:00:00,2018-01-09 19:00:00,69758.0,65242.645,66716.0
2018-01-09 20:00:00,2018-01-09 20:00:00,67158.0,63846.83,62806.0
2018-01-09 21:00:00,2018-01-09 21:00:00,63298.0,61107.785,60444.0
2018-01-09 22:00:00,2018-01-09 22:00:00,58995.0,57093.7,58003.0
2018-01-09 23:00:00,2018-01-09 23:00:00,54285.0,51509.72,54435.0
2018-01-10 00:00:00,2018-01-10 00:00:00,50109.0,48150.92,50168.0
2018-01-10 01:00:00,2018-01-10 01:00:00,46983.0,45202.57,47467.0
2018-01-10 02:00:00,2018-01-10 02:00:00,44924.0,43891.39,44916.0
2018-01-10 03:00:00,2018-01-10 03:00:00,43891.0,42722.465,42662.0
2018-01-10 04:00:00,2018-01-10 04:00:00,43317.0,41932.773,42153.0
2018-01-10 05:00:00,2018-01-10 05:00:00,43464.0,43612.16,42260.0
2018-01-10 06:00:00,2018-01-10 06:00:00,45811.0,46940.86,44361.0
2018-01-10 07:00:00,2018-01-10 07:00:00,51815.0,53676.37,50191.0
2018-01-10 08:00:00,2018-01-10 08:00:00,60912.996,59965.26,58204.0
2018-01-10 09:00:00,2018-01-10 09:00:00,67094.0,62906.63,66122.0
2018-01-10 10:00:00,2018-01-10 10:00:00,69092.0,63851.242,70328.0
2018-01-10 11:00:00,2018-01-10 11:00:00,69661.0,64035.727,72485.0
2018-01-10 12:00:00,2018-01-10 12:00:00,69781.0,64062.55,73530.0
2018-01-10 13:00:00,2018-01-10 13:00:00,68784.0,63660.594,73102.0
2018-01-10 14:00:00,2018-01-10 14:00:00,68795.0,63516.14,72992.0
2018-01-10 15:00:00,2018-01-10 15:00:00,68257.0,63540.402,72841.0
2018-01-10 16:00:00,2018-01-10 16:00:00,68467.0,63818.695,72698.0
2018-01-10 17:00:00,2018-01-10 17:00:00,69678.0,64415.664,73085.0
2018-01-10 18:00:00,2018-01-10 18:00:00,72653.0,64869.51,75485.0
2018-01-10 19:00:00,2018-01-10 19:00:00,69100.0,64756.434,70330.0
2018-01-10 20:00:00,2018-01-10 20:00:00,66321.0,62753.363,65567.0
2018-01-10 21:00:00,2018-01-10 21:00:00,62710.0,59797.516,63013.0
2018-01-10 22:00:00,2018-01-10 22:00:00,58676.0,55494.715,59435.0
2018-01-10 23:00:00,2018-01-10 23:00:00,53992.004,51357.24,55194.0
2018-01-11 00:00:00,2018-01-11 00:00:00,50272.0,48094.566,50955.0
2018-01-11 01:00:00,2018-01-11 01:00:00,47334.0,45199.992,48523.0
2018-01-11 02:00:00,2018-01-11 02:00:00,45244.0,43760.477,46204.0
2018-01-11 03:00:00,2018-01-11 03:00:00,44064.0,42657.293,44574.0
2018-01-11 04:00:00,2018-01-11 04:00:00,43593.0,41870.977,44243.0
2018-01-11 05:00:00,2018-01-11 05:00:00,43798.0,42835.887,44752.0
2018-01-11 06:00:00,2018-01-11 06:00:00,45869.0,45801.64,46881.0
2018-01-11 07:00:00,2018-01-11 07:00:00,52243.0,52060.957,53109.0
2018-01-11 08:00:00,2018-01-11 08:00:00,61548.0,57424.61,61748.0
2018-01-11 09:00:00,2018-01-11 09:00:00,67451.0,60266.605,73545.0
2018-01-11 10:00:00,2018-01-11 10:00:00,69015.0,61675.016,72430.0
2018-01-11 11:00:00,2018-01-11 11:00:00,68710.0,62058.938,73921.0
2018-01-11 12:00:00,2018-01-11 12:00:00,68346.0,61880.117,73718.0
2018-01-11 13:00:00,2018-01-11 13:00:00,67145.0,61934.395,72753.0
2018-01-11 14:00:00,2018-01-11 14:00:00,66971.0,62109.523,72729.0
2018-01-11 15:00:00,2018-01-11 15:00:00,67074.0,62617.203,72694.0
2018-01-11 16:00:00,2018-01-11 16:00:00,67540.0,63037.484,72321.0
2018-01-11 17:00:00,2018-01-11 17:00:00,68513.0,63530.02,72970.0
2018-01-11 18:00:00,2018-01-11 18:00:00,71712.0,63720.78,75227.0
2018-01-11 19:00:00,2018-01-11 19:00:00,69017.0,62834.555,70679.0
2018-01-11 20:00:00,2018-01-11 20:00:00,66515.0,61323.105,67760.0
2018-01-11 21:00:00,2018-01-11 21:00:00,63117.0,59062.67,65540.0
2018-01-11 22:00:00,2018-01-11 22:00:00,58828.0,55923.41,61134.0
2018-01-11 23:00:00,2018-01-11 23:00:00,54118.0,52120.668,56372.0
2018-01-12 00:00:00,2018-01-12 00:00:00,50341.0,48216.703,52459.0
2018-01-12 01:00:00,2018-01-12 01:00:00,47233.0,45641.99,46912.0
2018-01-12 02:00:00,2018-01-12 02:00:00,45260.996,43419.277,44532.0
2018-01-12 03:00:00,2018-01-12 03:00:00,44000.0,42020.074,43130.0
2018-01-12 04:00:00,2018-01-12 04:00:00,43635.996,41252.28,42999.0
2018-01-12 05:00:00,2018-01-12 05:00:00,43864.0,42186.074,43745.0
2018-01-12 06:00:00,2018-01-12 06:00:00,45862.0,43837.766,46029.0
2018-01-12 07:00:00,2018-01-12 07:00:00,51809.996,48418.637,51554.0
2018-01-12 08:00:00,2018-01-12 08:00:00,61051.0,51361.34,58507.0
2018-01-12 09:00:00,2018-01-12 09:00:00,67482.0,57003.31,64993.0
2018-01-12 10:00:00,2018-01-12 10:00:00,69550.0,59507.0,68041.0
2018-01-12 11:00:00,2018-01-12 11:00:00,69955.0,58940.156,69163.0
2018-01-12 12:00:00,2018-01-12 12:00:00,69933.0,58965.31,69240.0
2018-01-12 13:00:00,2018-01-12 13:00:00,69202.0,59370.953,68621.0
2018-01-12 14:00:00,2018-01-12 14:00:00,69088.0,59156.004,68186.0
2018-01-12 15:00:00,2018-01-12 15:00:00,68570.0,59024.297,67972.0
2018-01-12 16:00:00,2018-01-12 16:00:00,68149.0,59852.92,67479.0
2018-01-12 17:00:00,2018-01-12 17:00:00,68635.0,60784.043,67853.0
2018-01-12 18:00:00,2018-01-12 18:00:00,71355.0,61418.254,70424.0
2018-01-12 19:00:00,2018-01-12 19:00:00,68547.0,60776.51,66530.0
2018-01-12 20:00:00,2018-01-12 20:00:00,65341.996,58772.98,62889.0
2018-01-12 21:00:00,2018-01-12 21:00:00,61346.996,56964.0,59687.0
2018-01-12 22:00:00,2018-01-12 22:00:00,57211.0,54002.625,55603.0
2018-01-12 23:00:00,2018-01-12 23:00:00,53149.0,50458.9,51308.0
2018-01-13 00:00:00,2018-01-13 00:00:00,50264.0,46491.92,48190.0
2018-01-13 01:00:00,2018-01-13 01:00:00,47327.0,44066.516,48018.0
2018-01-13 02:00:00,2018-01-13 02:00:00,44805.0,42451.348,45657.0
2018-01-13 03:00:00,2018-01-13 03:00:00,43443.996,41057.324,44196.0
2018-01-13 04:00:00,2018-01-13 04:00:00,42635.0,40268.637,43614.0
2018-01-13 05:00:00,2018-01-13 05:00:00,42584.004,41281.363,43374.0
2018-01-13 06:00:00,2018-01-13 06:00:00,43190.0,41239.082,44119.0
2018-01-13 07:00:00,2018-01-13 07:00:00,45660.0,43500.867,46127.0
2018-01-13 08:00:00,2018-01-13 08:00:00,49394.004,47769.027,49968.0
2018-01-13 09:00:00,2018-01-13 09:00:00,53787.0,51416.395,54247.0
2018-01-13 10:00:00,2018-01-13 10:00:00,57818.0,53020.973,58546.0
2018-01-13 11:00:00,2018-01-13 11:00:00,60048.0,53237.98,61301.0
2018-01-13 12:00:00,2018-01-13 12:00:00,60577.0,52760.156,61665.0
2018-01-13 13:00:00,2018-01-13 13:00:00,59792.004,51889.76,61070.0
2018-01-13 14:00:00,2018-01-13 14:00:00,58980.996,51724.1,60096.0
2018-01-13 15:00:00,2018-01-13 15:00:00,58267.004,52756.957,59210.0
2018-01-13 16:00:00,2018-01-13 16:00:00,57883.004,54103.17,59136.0
2018-01-13 17:00:00,2018-01-13 17:00:00,59026.996,55430.82,60046.0
2018-01-13 18:00:00,2018-01-13 18:00:00,62850.0,56184.31,62869.0
2018-01-13 19:00:00,2018-01-13 19:00:00,61549.0,57729.67,59725.0
2018-01-13 20:00:00,2018-01-13 20:00:00,59331.004,58391.906,57062.0
2018-01-13 21:00:00,2018-01-13 21:00:00,56378.0,54864.863,54465.0
2018-01-13 22:00:00,2018-01-13 22:00:00,53337.0,51949.19,51666.0
2018-01-13 23:00:00,2018-01-13 23:00:00,50472.996,48822.117,49002.0
2018-01-14 00:00:00,2018-01-14 00:00:00,47429.0,46477.23,47154.0
2018-01-14 01:00:00,2018-01-14 01:00:00,45214.0,43537.33,44909.0
2018-01-14 02:00:00,2018-01-14 02:00:00,43317.0,41341.938,42893.0
2018-01-14 03:00:00,2018-01-14 03:00:00,42051.0,40334.855,41071.0
2018-01-14 04:00:00,2018-01-14 04:00:00,41331.0,40517.758,39584.0
